village,site,distance_km,hazard_overlap_count,hazard_overlap_total_m,bridge_count,bridge_names
Udayakani,Puri,62.4,3,19967.9,0,none identified
Udayakani,Bhubaneswar,62.3,2,10401.0,0,none identified
Udayakani,Nimapada,35.5,2,10401.0,0,none identified
Udayakani,Pipili,54.4,2,10401.0,0,none identified
Udayakani,Berhampur,111.5,3,28243.9,0,none identified
Udayakani,Bhadrak,32.1,2,10401.0,0,none identified
