village,site,distance_km,travel_time_min,hazard_score,bridge_score,distance_score,base_feasibility,verification_status,verification_note,route_feasibility_score
Astaranga,Bhadrak,34.9,83.8,5,100.0,69.5,56.1,UNVERIFIED - provisional,No recent field/drone observation,47.7
Astaranga,Nimapada,38.4,92.2,5,100.0,66.4,55.0,UNVERIFIED - provisional,No recent field/drone observation,46.7
Astaranga,Pipili,57.2,137.3,5,100.0,50.0,49.2,UNVERIFIED - provisional,No recent field/drone observation,41.9
Astaranga,Puri,65.2,156.5,5,100.0,43.0,46.8,UNVERIFIED - provisional,No recent field/drone observation,39.8
Astaranga,Bhubaneswar,65.2,156.5,5,100.0,43.0,46.8,UNVERIFIED - provisional,No recent field/drone observation,39.8
Astaranga,Berhampur,114.3,274.3,5,100.0,5.0,33.5,UNVERIFIED - provisional,No recent field/drone observation,28.5
