village,site,distance_km,hazard_overlap_count,hazard_overlap_total_m,bridge_count,bridge_names
Pondar,Rudraprayag,24.0,2,1958.6,3,unnamed bridge; unnamed bridge; unnamed bridge
Pondar,Guptkashi,9.6,1,1336.3,0,none identified
Pondar,Ukhimath,45.6,2,22837.9,8,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
