village_name,population,households,population_source
Gaurikund,223,43,census_2011_verified
Mangoli,310,58,estimated_tehsil_average
Agastmuni,850,160,estimated_block_average
Pondar,180,34,estimated_tehsil_average
Semla,165,31,estimated_tehsil_average
