village,site,distance_km,hazard_overlap_count,hazard_overlap_total_m,bridge_count,bridge_names
Agastmuni,Rudraprayag,38.1,3,7097.4,10,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
Agastmuni,Guptkashi,21.2,2,4075.4,7,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
Agastmuni,Ukhimath,46.7,3,18043.8,11,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
