village,site,distance_km,hazard_overlap_count,hazard_overlap_total_m,bridge_count,bridge_names
Semla,Rudraprayag,17.0,2,3022.0,3,unnamed bridge; unnamed bridge; unnamed bridge
Semla,Ukhimath,36.0,2,21501.6,8,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
