village,site,distance_km,hazard_overlap_count,hazard_overlap_total_m,bridge_count,bridge_names
Gaurikund,Rudraprayag,48.2,3,3347.4,10,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
Gaurikund,Guptkashi,33.8,2,2725.1,7,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
Gaurikund,Ukhimath,69.8,3,24226.7,15,unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge; unnamed bridge
