village,site,distance_km,travel_time_min,hazard_score,bridge_score,distance_score,base_feasibility,verification_status,verification_note,route_feasibility_score
Agastmuni,Guptkashi,21.2,50.9,5,50.0,54.6,35.9,UNVERIFIED - provisional,No recent field/drone observation,30.5
Agastmuni,Rudraprayag,38.1,91.4,5,50.0,18.4,23.2,UNVERIFIED - provisional,No recent field/drone observation,19.7
Agastmuni,Ukhimath,46.7,112.1,5,25.0,5.0,11.0,UNVERIFIED - provisional,No recent field/drone observation,9.3
