village,site,distance_km,travel_time_min,hazard_score,bridge_score,distance_score,base_feasibility,verification_status,verification_note,route_feasibility_score
Mangoli,Guptkashi,14.5,34.8,5,50.0,53.8,35.6,UNVERIFIED - provisional,No recent field/drone observation,30.2
Mangoli,Ukhimath,21.5,51.6,5,75.0,31.5,35.3,UNVERIFIED - provisional,No recent field/drone observation,30.0
Mangoli,Rudraprayag,31.4,75.4,5,50.0,5.0,18.5,UNVERIFIED - provisional,No recent field/drone observation,15.7
